city,zipcode,query,location,coords,city_y,state,country
L'Ènova,46669,L'Ènova 46669,"l'Énova, la Ribera Alta, València / Valencia, Comunitat Valenciana, España","(39.0444974, -0.4808473, 0.0)",,Comunitat Valenciana,España
Barcelona,08929,Barcelona 08929,,,,,
CABEZA LA VACA,06293,CABEZA LA VACA 06293,"Cementerio Municipal de Cabeza la Vaca, Cabeza la Vaca, Badajoz, Extremadura, España","(38.09327115, -6.41695675, 0.0)",,Extremadura,España
Teruel,44162,Teruel 44162,"Teruel, Zuera, Zaragoza, Aragón, 50800, España","(41.8668322, -0.7927124, 0.0)",,Aragón,España
Port Andratx,07157 ,Port Andratx 07157 ,"Port d'Andratx, Andratx, Serra de Tramuntana, Illes Balears, 07157, España","(39.5455483, 2.3911636, 0.0)",Andratx,Illes Balears,España
Villanueva de Huerva,50153,Villanueva de Huerva 50153,"Villanueva de Huerva, Campo de Cariñena, Zaragoza, Aragón, España","(41.354376, -1.0358405, 0.0)",,Aragón,España
Dover,CT170JS,Dover CT170JS,,,,,
Hospitalet de LLobregat,08901,Hospitalet de LLobregat 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Pravia,33139,Pravia 33139,"Pravia, Asturias / Asturies, España","(43.4895855, -6.1139029, 0.0)",,Asturias / Asturies,España
LEON,24162,LEON 24162,"Leon, Keralsi, Plounérin, Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22780, France","(48.5680142, -3.5262409, 0.0)",,Bretagne,France
Porto,4100-133,Porto 4100-133,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Milton Keynes,MK138EX,Milton Keynes MK138EX,,,,,
El Romaní,46439,El Romaní 46439,"El Romaní, Sollana, la Ribera Baixa, València / Valencia, Comunitat Valenciana, España","(39.30289585, -0.39657609051352416, 0.0)",Sollana,Comunitat Valenciana,España
GRANADA,180003,GRANADA 180003,,,,,
Cabezamesada,45890,Cabezamesada 45890,"Cabezamesada, Mancha Alta de Toledo, Toledo, Castilla-La Mancha, España","(39.8166147, -3.1029185, 0.0)",,Castilla-La Mancha,España
LA HERRADURA,18697,LA HERRADURA 18697,"La Herradura, Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18697, España","(36.7345524, -3.7379332, 0.0)",,Andalucía,España
"La Herradura, Almuñécar",18697,"La Herradura, Almuñécar 18697","La Herradura, Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18697, España","(36.7345524, -3.7379332, 0.0)",,Andalucía,España
Talavera la nueva,45694,Talavera la nueva 45694,"Talavera La Nueva, Talavera de la Reina, Talavera, Toledo, Castilla-La Mancha, España","(39.935282, -4.8917194, 0.0)",,Castilla-La Mancha,España
Fortaleny,46418,Fortaleny 46418,"Fortaleny, la Ribera Baixa, València / Valencia, Comunitat Valenciana, España","(39.1838545, -0.3151293, 0.0)",,Comunitat Valenciana,España
Isla Plana (Cartagena) ,30868,Isla Plana (Cartagena)  30868,"Isla Plana, Diputación de Los Puertos, Cartagena, Campo de Cartagena y Mar Menor, Región de Murcia, España","(37.57148105, -1.2081622480588203, 0.0)",Cartagena,Región de Murcia,España
Guadalupe (Murcia),30107,Guadalupe (Murcia) 30107,"Guadalupe, A-7, Agridulce, Guadalupe de Maciascoque, Pedanía de Guadalupe, Murcia, Área Metropolitana de Murcia, Región de Murcia, 30107, España","(38.003085, -1.1730484, 0.0)",Murcia,Región de Murcia,España
MADRID,80242,MADRID 80242,,,,,
Lisboa,1200-468 Lisboa,Lisboa 1200-468 Lisboa,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Lisboa,2685-220,Lisboa 2685-220,"220, Rua 9 de Abril, São Pedro do Estoril, Cascais e Estoril, Cascais, Lisboa, 2765-542, Portugal","(38.6961133, -9.3727348, 0.0)",Cascais e Estoril,,Portugal
L'HOSPITALET DE LLOBREGAT,08901,L'HOSPITALET DE LLOBREGAT 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
el rubio,41568,el rubio 41568,"El Rubio, Ababuj, Comunidad de Teruel, Teruel, Aragón, España","(40.5266165, -0.7777617, 0.0)",,Aragón,España
Santa Olaya de la Ribera,24199,Santa Olaya de la Ribera 24199,"Santa Olaya, Allende el Río, Concejero, Valle de Mena, Burgos, Castilla y León, 09587, España","(43.1037122, -3.3521092, 0.0)",Valle de Mena,Castilla y León,España
Estación de Chinchilla,02529,Estación de Chinchilla 02529,"Estación de Chinchilla, Chinchilla de Monte-Aragón, Albacete, Castilla-La Mancha, España","(38.9050489, -1.6942495, 0.0)",Chinchilla de Monte-Aragón,Castilla-La Mancha,España
Lisboa,1250-044,Lisboa 1250-044,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Malpica de tajo ,45692 ,Malpica de tajo  45692 ,"Calle de Malpica, Bernúy, Malpica de Tajo, Torrijos, Toledo, Castilla-La Mancha, 45693, España","(39.9218515, -4.5980905, 0.0)",,Castilla-La Mancha,España
STA MARIA DA FEIRA,4520-208,STA MARIA DA FEIRA 4520-208,"Santa Maria da Feira, Aveiro, Portugal","(40.962803699999995, -8.515017938130935, 0.0)",,,Portugal
navatalgordo,05122,navatalgordo 05122,,,,,
Cela de Núñez,03839,Cela de Núñez 03839,"Cela de Núñez, Muro de Alcoy, el Comtat, Alacant / Alicante, Comunitat Valenciana, 03830, España","(38.7894453, -0.428949, 0.0)",,Comunitat Valenciana,España
Bodonal de la Sierra,06394,Bodonal de la Sierra 06394,,,,,
urrea de gaen,44593,urrea de gaen 44593,"Urrea de Gaén, Bajo Martín, Teruel, Aragón, España","(41.1600888, -0.4705135, 0.0)",,Aragón,España
Beniarrés ,03850,Beniarrés  03850,"Beniarrés, el Comtat, Alacant / Alicante, Comunitat Valenciana, España","(38.8203655, -0.3789225, 0.0)",,Comunitat Valenciana,España
Sotolargo,19185,Sotolargo 19185,"Sotolargo, Valdeaveruelo, Guadalajara, Castilla-La Mancha, España","(40.6457251, -3.2965342, 0.0)",Valdeaveruelo,Castilla-La Mancha,España
L’Hospitalet de Llobregat ,08901,L’Hospitalet de Llobregat  08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Almería,Almeía,Almería Almeía,,,,,
Jarafuel,46623,Jarafuel 46623,"Jarafuel, El Valle de Cofrentes-Ayora, València / Valencia, Comunitat Valenciana, España","(39.1398863, -1.0728491, 0.0)",,Comunitat Valenciana,España
Silves ,8300-126 ,Silves  8300-126 ,"Silves, Faro, Portugal","(37.26398255, -8.34873166552471, 0.0)",,,Portugal
Lumpiaque,50295,Lumpiaque 50295,"Lumpiaque, Valdejalón, Zaragoza, Aragón, España","(41.6295982, -1.3010144, 0.0)",,Aragón,España
san carlos del valle,13247,san carlos del valle 13247,"San Carlos del Valle, Campo de Montiel, Ciudad Real, Castilla-La Mancha, España","(38.8443306, -3.2416783, 0.0)",,Castilla-La Mancha,España
são brás alportel Algarve,8150-101,são brás alportel Algarve 8150-101,,,,,
Tablada del Rudrón,09143,Tablada del Rudrón 09143,,,,,
Porto,4150145,Porto 4150145,"Porto, Marina di Camerota, Camerota, Salerno, Campania, 84059, Italia","(39.9986187, 15.3748661, 0.0)",,Campania,Italia
TOMIÑO,36749,TOMIÑO 36749,"Tomino, Bastia, Haute-Corse, Corse, France métropolitaine, 20248, France","(42.9456543, 9.4424415, 0.0)",Tomino,Corse,France
TOMAR,2305-418 MADALENA TMR,TOMAR 2305-418 MADALENA TMR,"Parque Empresarial de Tomar, Madalena e Beselga, Tomar, Santarém, Portugal","(39.556522799999996, -8.39881943349349, 0.0)",Tomar,,Portugal
GERINDOTE,45518,GERINDOTE 45518,"Gerindote, Torrijos, Toledo, Castilla-La Mancha, España","(39.9655586, -4.3022455, 0.0)",,Castilla-La Mancha,España
BENILLUP,03827,BENILLUP 03827,"Benillup, el Comtat, Alacant / Alicante, Comunitat Valenciana, España","(38.7535607, -0.3788159, 0.0)",,Comunitat Valenciana,España
Cañada de Agra,02409,Cañada de Agra 02409,"Cañada de Agra, Hellín, Albacete, Castilla-La Mancha, 02400, España","(38.4678961, -1.6968091, 0.0)",,Castilla-La Mancha,España
Rio Tinto,4435-084,Rio Tinto 4435-084,"Rio Tinto, Gondomar, Porto, Portugal","(41.1807166, -8.5575691, 0.0)",Rio Tinto,,Portugal
RIANXO,15920,RIANXO 15920,"Rianxo, A Barbanza, A Coruña, Galicia, 15920, España","(42.6488711, -8.8173676, 0.0)",,Galicia,España
VALDETORRES,06474,VALDETORRES 06474,,,,,
Braga,4700-048,Braga 4700-048,"Braga, Portugal","(41.5510583, -8.4280045, 0.0)",Braga,,Portugal
Esmoriz,3885-574,Esmoriz 3885-574,"Esmoriz, Ovar, Aveiro, Portugal","(40.9602526, -8.6228198, 0.0)",Esmoriz,,Portugal
Pinto,28328,Pinto 28328,"Pinto, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28320, España","(40.240985, -3.7005072, 0.0)",Pinto,Comunidad de Madrid,España
São João da Madeira,3700-104,São João da Madeira 3700-104,"São João da Madeira, Aveiro, Portugal","(40.8977193, -8.490675185118615, 0.0)",São João da Madeira,,Portugal
Santa Pola,003130,Santa Pola 003130,"Santa Pola, el Baix Vinalopó, Alacant / Alicante, Comunitat Valenciana, 03130, España","(38.1923641, -0.5555464, 0.0)",,Comunitat Valenciana,España
Benidorm ,035003,Benidorm  035003,"Benidorm, Plà Roig, Calp, la Marina Alta, Alacant / Alicante, Comunitat Valenciana, 03710, España","(38.6421926, 0.0488824, 0.0)",Calp,Comunitat Valenciana,España
Cartagena,30392,Cartagena 30392,"Cartagena, Ejea de los Caballeros, Cinco Villas, Zaragoza, Aragón, 50600, España","(42.0919763, -1.1193502, 0.0)",,Aragón,España
oria,04810,oria 04810,,,,,
Aleson,26315,Aleson 26315,"Alesón, La Rioja, España","(42.4054779, -2.6904851, 0.0)",,La Rioja,España
Sant Boi de Llobregat,00830,Sant Boi de Llobregat 00830,"Sant Boi, Carrer Josep Torres i Bages, Barri Centre, Sant Boi de Llobregat, Baix Llobregat, Barcelona, Catalunya, 08830, España","(41.348441, 2.0430925, 0.0)",,Catalunya,España
Porto do Don,15970,Porto do Don 15970,,,,,
Campillo de llerena,06443,Campillo de llerena 06443,"Carretera de Azuaga a Campillo de Llerena, Campillo de Llerena, Badajoz, Extremadura, España","(38.511632, -5.8421212, 0.0)",,Extremadura,España
Santa Olaja de la ribera,24199,Santa Olaja de la ribera 24199,"Santa Olaja de la Ribera, Villaturiel, León, Castilla y León, 24005, España","(42.5585173, -5.5541912, 0.0)",,Castilla y León,España
Guadalupe de Maciascoque,30107,Guadalupe de Maciascoque 30107,"Guadalupe de Maciascoque, Pedanía de Guadalupe, Murcia, Área Metropolitana de Murcia, Región de Murcia, 30107, España","(37.9999245, -1.1729086, 0.0)",Murcia,Región de Murcia,España
<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430>,119526,<U+041C><U+043E><U+0441><U+043A><U+0432><U+0430> 119526,,,,,
LISBOA,1050 010,LISBOA 1050 010,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Mogadouro,5200 213,Mogadouro 5200 213,"Mogadouro, Bragança, Portugal","(41.3418708, -6.7121674, 0.0)",,,Portugal
Braga,4705-672,Braga 4705-672,"Braga, Portugal","(41.5510583, -8.4280045, 0.0)",Braga,,Portugal
Pajarejos,05571,Pajarejos 05571,,,,,
SAN PEDRO MANRIQUE,42174,SAN PEDRO MANRIQUE 42174,"San Pedro Manrique, Castilla y León, España","(42.029187, -2.229759, 0.0)",,Castilla y León,España
Ulldecona,435550,Ulldecona 435550,"Ulldecona, Montsià, Tarragona, Catalunya, 43550, España","(40.5967567, 0.4475376, 0.0)",Ulldecona,Catalunya,España
Sucina,30590,Sucina 30590,"Sucina, Murcia, Campo de Cartagena y Mar Menor, Región de Murcia, España","(37.8890907, -0.939024, 0.0)",Murcia,Región de Murcia,España
Montserrat,469192,Montserrat 469192,"Montserrat, Butterow, Rodborough, Thrupp, Stroud, Gloucestershire, South West England, England, GL5 2NL, United Kingdom","(51.7283857, -2.2085499, 0.0)",,England,United Kingdom
murillo de rio leza,26143,murillo de rio leza 26143,"Murillo de Río Leza, La Rioja, España","(42.4028997, -2.3246959, 0.0)",,La Rioja,España
Barcelona,00804,Barcelona 00804,,,,,
Torre Val de San Pedro,40171,Torre Val de San Pedro 40171,"Torre Val de San Pedro, Segovia, Castilla y León, España","(41.0732715, -3.8705605, 0.0)",,Castilla y León,España
Toral de los Guzmanes,24237,Toral de los Guzmanes 24237,"Toral de los Guzmanes, León, Castilla y León, España","(42.2428548, -5.5671476, 0.0)",,Castilla y León,España
Viseu,3650-081,Viseu 3650-081,"Touro, Vila Nova de Paiva, Viseu, 3650-081, Portugal","(40.89553909999999, -7.747360048795849, 0.0)",,,Portugal
Santa plana de la Ribera,24199,Santa plana de la Ribera 24199,,,,,
Cervello,08578,Cervello 08578,,,,,
RAFELCOFER,46716,RAFELCOFER 46716,"Rafelcofer, la Safor, València / Valencia, Comunitat Valenciana, España","(38.9327181, -0.1664006, 0.0)",,Comunitat Valenciana,España
Lisboa,1050-230,Lisboa 1050-230,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Vila do conde,4480,Vila do conde 4480,"Vila do Conde, Porto, Portugal","(41.3580981, -8.7475631, 0.0)",Vila do Conde,,Portugal
TERRAMELAR,46989,TERRAMELAR 46989,"Terramelar, Paterna, l'Horta Oest, València / Valencia, Comunitat Valenciana, España","(39.5079791, -0.4288066, 0.0)",Paterna,Comunitat Valenciana,España
Treviño ,09215,Treviño  09215,,,,,
Ponteareas,36862,Ponteareas 36862,"Ponteareas, O Condado, Pontevedra, Galicia, España","(42.1740961, -8.5050963, 0.0)",,Galicia,España
Monção,4950-840,Monção 4950-840,"Monção, Viana do Castelo, Portugal","(42.027944700000006, -8.417367176526596, 0.0)",,,Portugal
LAS PALMAS DE GRAN CANARIA,35004,LAS PALMAS DE GRAN CANARIA 35004,"Las Palmas de Gran Canaria, Las Palmas, Canarias, España","(28.1288694, -15.4349015, 0.0)",Las Palmas de Gran Canaria,,España
otero de herreros,40422,otero de herreros 40422,"Otero de Herreros, Segovia, Castilla y León, España","(40.8199828, -4.2091895, 0.0)",,Castilla y León,España
Merida,O6800,Merida O6800,,,,,
Barcelona,080035,Barcelona 080035,"Barcelona, Pozo Alcón, Jaén, Andalucía, 23485, España","(37.7061762, -2.9351876, 0.0)",,Andalucía,España
Lisboa ,1500-133,Lisboa  1500-133,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
MIAMI,33135,MIAMI 33135,"Wood Street Roundabout, Widford, Chelmsford town, Chelmsford, Essex, East of England, England, CM2 9GE, United Kingdom","(51.7216033, 0.4601166, 0.0)",Chelmsford,England,United Kingdom
alcala de henares,2880628806,alcala de henares 2880628806,"Alcalá de Henares, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, España","(40.4818396, -3.3644973, 0.0)",Alcalá de Henares,Comunidad de Madrid,España
Almeria,04750,Almeria 04750,,,,,
torino,10125,torino 10125,"Torino, Piemonte, Italia","(45.0677551, 7.6824892, 0.0)",Torino,Piemonte,Italia
Toledo,45009,Toledo 45009,"Toledo, Castilla-La Mancha, 45191, España","(39.8282061, -3.9648056, 0.0)",Toledo,Castilla-La Mancha,España
Sankt-Petersburg,193313,Sankt-Petersburg 193313,"Sankt Josef Listerscheid, 139, Ihnestraße, Erlen, Listerscheid, Attendorn, Kreis Olpe, Nordrhein-Westfalen, 57439, Deutschland","(51.1076254, 7.847132222059966, 0.0)",,Nordrhein-Westfalen,Deutschland
Torrevieja,03188,Torrevieja 03188,"Torrevieja, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, España","(37.9775416, -0.6828446, 0.0)",,Comunitat Valenciana,España
Maia,4475-401,Maia 4475-401,"401, Autoestrada de Trás-os-Montes e Alto Douro, Brás Oleiro, Águas Santas, Maia, Porto, 4425-159, Portugal","(41.1989599, -8.5792302, 0.0)",Águas Santas,,Portugal
LOS GUADALPERALES,06713,LOS GUADALPERALES 06713,"Los Guadalperales, Badajoz, Extremadura, España","(39.084263, -5.6256773, 0.0)",,Extremadura,España
St. Petersburg,199397,St. Petersburg 199397,,,,,
Valdebotoa,06194,Valdebotoa 06194,,,,,
Huecija,04409,Huecija 04409,"Huécija, Almería, Andalucía, España","(36.9677058, -2.6091422, 0.0)",,Andalucía,España
vila nova famalicao,4760-105,vila nova famalicao 4760-105,"Vila Nova de Famalicão e Calendário, Vila Nova de Famalicão, Braga, 4760-105, Portugal","(41.409138950000006, -8.518037969030303, 0.0)",Vila Nova de Famalicão,,Portugal
Valdeluz-Yebes,19139,Valdeluz-Yebes 19139,"Valdeluz, Yebes, Guadalajara, Castilla-La Mancha, 19141, España","(40.5895837, -3.1093066, 0.0)",,Castilla-La Mancha,España
MAGUILLA,06939,MAGUILLA 06939,,,,,
Dosrius cañamars,08318,Dosrius cañamars 08318,,,,,
Palma de Mallorca,O7013,Palma de Mallorca O7013,,,,,
CÁDIZ,11006,CÁDIZ 11006,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Vila Pouca de Aguiar,5450-009,Vila Pouca de Aguiar 5450-009,"Vila Pouca de Aguiar, Vila Real, Portugal","(41.5007614, -7.6442868, 0.0)",,,Portugal
Almada,2805-290,Almada 2805-290,"Almada, Setúbal, Portugal","(38.6764302, -9.1649974, 0.0)",Almada,,Portugal
BARRAX,02639,BARRAX 02639,"Barrax, Albacete, Castilla-La Mancha, España","(39.0460357, -2.2004126, 0.0)",,Castilla-La Mancha,España
San Cristóbal de La Laguna ,38205,San Cristóbal de La Laguna  38205,"San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canarias, España","(28.4857715, -16.3159422, 0.0)",San Cristóbal de La Laguna,,España
Queijas,2790-372,Queijas 2790-372,"Carnaxide e Queijas, Oeiras, Lisboa, 2790-372, Portugal","(38.72072885, -9.267604400748631, 0.0)",Carnaxide e Queijas,,Portugal
Lagoa,9560-421,Lagoa 9560-421,"Lagoa, Açores, Portugal","(37.7429319, -25.527595517493474, 0.0)",,,Portugal
faro,8000-079,faro 8000-079,"Faro, Portugal","(37.0162727, -7.9351771, 0.0)",Faro,,Portugal
Alborache,46369,Alborache 46369,"Alborache, La Hoya de Buñol, València / Valencia, Comunitat Valenciana, España","(39.3917086, -0.7711311, 0.0)",,Comunitat Valenciana,España
CHEREPOVETS,162626,CHEREPOVETS 162626,,,,,
Giza,12558,Giza 12558,"Giza eskubideen hiribidea/Avenida de los Derechos Humanos, Aldaia, Zabalgana, Armentia, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01015, España","(42.8419904, -2.7019911, 0.0)",Vitoria-Gasteiz,Euskadi,España
BOBADILLA DEL CAMPO,47462,BOBADILLA DEL CAMPO 47462,"Ayuntamiento de Bobadilla del Campo, 1, Plaza Mayor, Bobadilla del Campo, Valladolid, Castilla y León, España","(41.2053041, -5.0221755, 0.0)",,Castilla y León,España
torrevieja,03188,torrevieja 03188,"Torrevieja, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, España","(37.9775416, -0.6828446, 0.0)",,Comunitat Valenciana,España
Almendral,06171,Almendral 06171,,,,,
La Villa de don Fadrique,45859,La Villa de don Fadrique 45859,"Zanja de la Veguilla, Villacañas, La Villa de Don Fadrique, Mancha Alta de Toledo, Toledo, Castilla-La Mancha, España","(39.6038396, -3.2479046, 0.0)",La Villa de Don Fadrique,Castilla-La Mancha,España
navalvillar de pela,06760,navalvillar de pela 06760,"Carretera de Navalvillar de Pela a la N-430, Navalvillar de Pela, Badajoz, Extremadura, España","(39.0917032, -5.4467756, 0.0)",,Extremadura,España
Mingogil (Hellin),02409,Mingogil (Hellin) 02409,"Mingogil, Hellín, Albacete, Castilla-La Mancha, España","(38.4606315, -1.7414429, 0.0)",,Castilla-La Mancha,España
Hellin,02409,Hellin 02409,"Hellín, San Blas - Canillejas, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4309772, -3.6188762, 0.0)",Madrid,Comunidad de Madrid,España
Juarros de Voltoya,40445,Juarros de Voltoya 40445,"Juarros de Voltoya, Segovia, Castilla y León, España","(41.030737, -4.5197726, 0.0)",,Castilla y León,España
"Vila Boa do Bispo, MCN",4625-710,"Vila Boa do Bispo, MCN 4625-710","Vila Boa do Bispo, Marco de Canaveses, Porto, Portugal","(41.1332787, -8.2097194, 0.0)",,,Portugal
Escaldes Engordany,AD700,Escaldes Engordany AD700,,,,,
Funchal,9000-783,Funchal 9000-783,"Funchal, Madeira, Portugal","(32.6496497, -16.9086783, 0.0)",Funchal,,Portugal
Salvaleón,06174,Salvaleón 06174,,,,,
"Portela, LRS; Lisboa",2685-244,"Portela, LRS; Lisboa 2685-244","Moscavide e Portela, Loures, Lisboa, 2685-244, Portugal","(38.7864828, -9.1170255, 0.0)",Loures,,Portugal
Gondomar,4420-086,Gondomar 4420-086,"Gondomar, Porto, Portugal","(41.1398199, -8.5326269, 0.0)",Gondomar,,Portugal
Amora,2845-360,Amora 2845-360,"Amora, Seixal, Setúbal, Portugal","(38.6297097, -9.1160023, 0.0)",Amora,,Portugal
el Vilet de riocorb,25343,el Vilet de riocorb 25343,,,,,
FINES,04869,FINES 04869,"Fines, Valle del Almanzora, Almería, Andalucía, España","(37.360002, -2.2632918, 0.0)",,Andalucía,España
Gilgarcía ,05693,Gilgarcía  05693,,,,,
El Cubillo,16315,El Cubillo 16315,"El Cubillo, Alcalá de la Vega, Cuenca, Castilla-La Mancha, España","(40.018631850000006, -1.4931160300608346, 0.0)",,Castilla-La Mancha,España
Cerda,46813,Cerda 46813,"Cerda, Palermo, Sicilia, 90010, Italia","(37.903579, 13.8154701, 0.0)",,Sicilia,Italia
Chaves,5400,Chaves 5400,"Chaves, Vila Real, Portugal","(41.7399453, -7.471477, 0.0)",Chaves,,Portugal
l'hospitalet,08901,l'hospitalet 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Ituero y Lama,40151,Ituero y Lama 40151,"Ituero y Lama, Segovia, Castilla y León, España","(40.8001736, -4.377953, 0.0)",,Castilla y León,España
Mealhada,3050-386,Mealhada 3050-386,"Mealhada, Casal Comba, Mealhada, Aveiro, Portugal","(40.3517025, -8.453214865046967, 0.0)",Mealhada,,Portugal
Funchal ,9020-095,Funchal  9020-095,"Funchal (Santa Maria Maior), Funchal, Madeira, Portugal","(32.6543293, -16.890072, 0.0)",Funchal,,Portugal
Alboraya ,46128,Alboraya  46128,"Alboraia / Alboraya, l'Horta Nord, València / Valencia, Comunitat Valenciana, 46120, España","(39.5009954, -0.34948, 0.0)",,Comunitat Valenciana,España
CADIZ,11008,CADIZ 11008,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Robredo Temiño,09591,Robredo Temiño 09591,"Robredo Temiño, Valle de las Navas, Burgos, Castilla y León, España","(42.4681556, -3.5808867, 0.0)",Valle de las Navas,Castilla y León,España
Rafelcofer,46716,Rafelcofer 46716,"Rafelcofer, la Safor, València / Valencia, Comunitat Valenciana, España","(38.9327181, -0.1664006, 0.0)",,Comunitat Valenciana,España
Almodovar del pinar ,16215,Almodovar del pinar  16215,"Almodóvar del Pinar, Cuenca, Castilla-La Mancha, España","(39.72563, -1.9017443, 0.0)",,Castilla-La Mancha,España
Pobladura de Pelayo Garcia,24249,Pobladura de Pelayo Garcia 24249,"Pobladura de Pelayo García, León, Castilla y León, España","(42.306, -5.6851992, 0.0)",,Castilla y León,España
Malpica de tajo ,45692,Malpica de tajo  45692,"Calle de Malpica, Bernúy, Malpica de Tajo, Torrijos, Toledo, Castilla-La Mancha, 45693, España","(39.9218515, -4.5980905, 0.0)",,Castilla-La Mancha,España
alzuza,31486,alzuza 31486,"Alzuza, Valle de Egüés/Eguesibar, Navarra - Nafarroa, 31620, España","(42.835226, -1.5702057, 0.0)",Valle de Egüés/Eguesibar,Navarra - Nafarroa,España
port de soller,07108,port de soller 07108,"Port de Sóller, Sóller, Serra de Tramuntana, Illes Balears, 07108, España","(39.797761, 2.6964152, 0.0)",Sóller,Illes Balears,España
Dosbarrios,45311,Dosbarrios 45311,"Dosbarrios, Mesa de Ocaña, Toledo, Castilla-La Mancha, España","(39.8833764, -3.4820586, 0.0)",Dosbarrios,Castilla-La Mancha,España
Arganil,3300-017,Arganil 3300-017,"Arganil, Coimbra, Portugal","(40.2202451, -7.980700223101081, 0.0)",,,Portugal
Sagra,03795,Sagra 03795,"Sagra, Puebla de Don Fadrique, Comarca de Huéscar, Granada, Andalucía, España","(37.9628544, -2.5513629, 0.0)",,Andalucía,España
Casas de los Pinos,16612,Casas de los Pinos 16612,"Casas de los Pinos, Cuenca, Castilla-La Mancha, España","(39.3335028, -2.3703374, 0.0)",,Castilla-La Mancha,España
MARURI-JATABE,48112,MARURI-JATABE 48112,"Maruri-Jatabe, Bizkaia, Euskadi, España","(43.38018, -2.866926, 0.0)",,Euskadi,España
Lisboa,1250-149,Lisboa 1250-149,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Talavera la Nueva,45694,Talavera la Nueva 45694,"Talavera La Nueva, Talavera de la Reina, Talavera, Toledo, Castilla-La Mancha, España","(39.935282, -4.8917194, 0.0)",,Castilla-La Mancha,España
lisboa,1000-237,lisboa 1000-237,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Valuengo ,06389,Valuengo  06389,,,,,
Ferreira do Zezere,2240-357,Ferreira do Zezere 2240-357,"Ferreira do Zêzere, Santarém, Portugal","(39.6934308, -8.2905545, 0.0)",,,Portugal
Algueirão,2725-017 Mem Martins,Algueirão 2725-017 Mem Martins,"Mem Martins, Sintra, Lisboa, 2725-328, Portugal","(38.793577, -9.34399, 0.0)",,,Portugal
hospitalet,08901,hospitalet 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
gergal,04550,gergal 04550,,,,,
Noura,5090-200,Noura 5090-200,"Noura, Noura e Palheiros, Murça, Vila Real, 5090-200, Portugal","(41.389804, -7.4196183, 0.0)",Noura e Palheiros,,Portugal
Riells del Fai,08416,Riells del Fai 08416,"Riells del Fai, Bigues i Riells del Fai, Vallès Oriental, Barcelona, Catalunya, 08415, España","(41.6985844, 2.1976858, 0.0)",Bigues i Riells del Fai,Catalunya,España
Ines,42345,Ines 42345,"Inès, Gorno, Bergamo, Lombardia, 24028, Italia","(45.865945, 9.8469636, 0.0)",,Lombardia,Italia
COIMBRA,3040-193,COIMBRA 3040-193,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
Porto,4000-196,Porto 4000-196,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
V. N. Famalicão,4760-129 V. N. Famalicão,V. N. Famalicão 4760-129 V. N. Famalicão,,,,,
