zipcode,location,coords,city,state,country
08530,"la Garriga, Vallès Oriental, Barcelona, Catalunya, 08530, España","(41.68167021153847, 2.2853641743837394, 0.0)",la Garriga,Catalunya,España
04005,"Digne-les-Bains, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04005, France","(44.1097494, 6.228019582517481, 0.0)",,Provence-Alpes-Côte d'Azur,France
41360,"Savigny-sur-Braye, Vendôme, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41360, France","(47.85712103333333, 0.8682295453744462, 0.0)",,Centre-Val de Loire,France
21002,"Huelva, Comarca Metropolitana de Huelva, Huelva, Andalucía, 21002, España","(37.26544030102041, -6.955437405325124, 0.0)",Huelva,Andalucía,España
28891,"Nonio, Verbano-Cusio-Ossola, Piemonte, 28891, Italia","(45.84192315666667, 8.37391019127432, 0.0)",,Piemonte,Italia
20160,"Vico, Ajaccio, Corse-du-Sud, Corse, France métropolitaine, 20160, France","(42.17171864615385, 8.818759203956086, 0.0)",,Corse,France
46702,"Gandia, la Safor, València / Valencia, Comunitat Valenciana, 46702, España","(38.963675166973516, -0.18469036049369617, 0.0)",,Comunitat Valenciana,España
10181,"Castellamonte, Torino, Piemonte, 10181, Italia","(45.383268, 7.7094266, 0.0)",,Piemonte,Italia
48112,,,,,
10100,"Pars-lès-Romilly, Nogent-sur-Seine, Aube, Grand Est, France métropolitaine, 10100, France","(48.49200445, 3.7141993758833274, 0.0)",,Grand Est,France
45002,"Toledo, Castilla-La Mancha, 45002, España","(39.8581109268, -4.026641082816329, 0.0)",Toledo,Castilla-La Mancha,España
46182,"La cañada, l'Horta Oest, València / Valencia, Comunitat Valenciana, 46182, España","(39.529470759999995, -0.48427484, 0.0)",,Comunitat Valenciana,España
50410,"Urbanización Santa Fe, Cuarte de Huerva, Zaragoza, Aragón, 50410, España","(41.58661843333333, -0.9473499973164683, 0.0)",,Aragón,España
25537,"Vielha e Mijaran, Val d'Aran, Lleida, Catalunya, 25537, España","(42.73738533333333, 0.7570528084995737, 0.0)",,Catalunya,España
46780,"Oliva, la Safor, València / Valencia, Comunitat Valenciana, 46780, España","(38.921248573521794, -0.11464701878229744, 0.0)",Oliva,Comunitat Valenciana,España
17455,"Caldes de Malavella, Selva, Girona, Catalunya, 17455, España","(41.84302974444444, 2.8038101563989364, 0.0)",,Catalunya,España
08016,"Bòrore/Borore, Nuoro, Sardigna/Sardegna, 08016, Italia","(40.214597905000005, 8.801519763802869, 0.0)",,Sardigna/Sardegna,Italia
27300,"Bernay, Eure, Normandie, France métropolitaine, 27300, France","(49.097684956542054, 0.5965348534807752, 0.0)",Bernay,Normandie,France
30004,"Murcia, Área Metropolitana de Murcia, Región de Murcia, 30004, España","(37.98452726428571, -1.1340683176486142, 0.0)",Murcia,Región de Murcia,España
08732,"Castellví de la Marca, Alt Penedès, Barcelona, Catalunya, 08732, España","(41.330007583333334, 1.612643130023655, 0.0)",Castellví de la Marca,Catalunya,España
33891,"Salas, Asturias / Asturies, 33891, España","(43.39714923, -6.3306441399999995, 0.0)",,Asturias / Asturies,España
39110,"Stadtfeld West, Magdeburg, Sachsen-Anhalt, 39110, Deutschland","(52.129706152069275, 11.581974703391204, 0.0)",Magdeburg,Sachsen-Anhalt,Deutschland
36890,"Mondariz-Balneario, O Condado, Pontevedra, Galicia, 36890, España","(42.2282246, -8.4679195, 0.0)",Mondariz-Balneario,Galicia,España
13770,"Venelles, Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13770, France","(43.591454166666665, 5.479063483999233, 0.0)",,Provence-Alpes-Côte d'Azur,France
08187,"Santa Eulàlia de Ronçana, Vallès Oriental, Barcelona, Catalunya, 08187, España","(41.64801052142857, 2.2281284111384916, 0.0)",,Catalunya,España
08060,"Marienthal West, Zwickau-West, Zwickau, Sachsen, 08060, Deutschland","(50.72265754287875, 12.449115862217301, 0.0)",,Sachsen,Deutschland
02630,"Mennevret, Vervins, Aisne, Hauts-de-France, France métropolitaine, 02630, France","(49.993946375, 3.573915938934563, 0.0)",,Hauts-de-France,France
27400,"Acquigny, Les Andelys, Eure, Normandie, France métropolitaine, 27400, France","(49.17279660387075, 1.1408790546553838, 0.0)",,Normandie,France
41004,"Casco Antiguo, Sevilla, Andalucía, 41004, España","(37.387242820000026, -5.990171485385025, 0.0)",Sevilla,Andalucía,España
1049-062,"062, Paderne, Albufeira, Faro, 8200-495, Portugal","(37.1519692, -8.2127711, 0.0)",,,Portugal
09454,"Quemada, Burgos, Castilla y León, 09454, España","(41.70180175, -3.578578330972624, 0.0)",,Castilla y León,España
08328,"Teià, Maresme, Barcelona, Catalunya, 08328, España","(41.50074127478669, 2.3179382485449547, 0.0)",,Catalunya,España
36680,"A Estrada, Tabeirós - Terra de Montes, Pontevedra, Galicia, 36680, España","(42.690161902739156, -8.491780298658286, 0.0)",,Galicia,España
08784,"Piera, Anoia, Barcelona, Catalunya, 08784, España","(41.518949358162914, 1.750084480226205, 0.0)",Piera,Catalunya,España
30640,"Beauvoisin, Nîmes, Gard, Occitanie, France métropolitaine, 30640, France","(43.68294920625, 4.335510443970518, 0.0)",,Occitanie,France
21400 ,"Buncey, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21400, France","(47.83551196938778, 4.567593976252382, 0.0)",,Bourgogne-Franche-Comté,France
21891,"F. Pons, Rue de l'Église, Prat Couderc, Colomiers, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31770, France","(43.6129878, 1.3376751, 0.0)",,Occitanie,France
42200,"Almazán, Castilla y León, 42200, España","(41.486018503036526, -2.5327077990981306, 0.0)",Almazán,Castilla y León,España
03801,"Alcoi / Alcoy, l'Alcoià, Alacant / Alicante, Comunitat Valenciana, 03801, España","(38.696901565999994, -0.47462158330854254, 0.0)",,Comunitat Valenciana,España
13220,"Châteauneuf-les-Martigues, Istres, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13220, France","(43.38925723076923, 5.175844611345807, 0.0)",,Provence-Alpes-Côte d'Azur,France
45720,"Coullons, Montargis, Loiret, Centre-Val de Loire, France métropolitaine, 45720, France","(47.61253938333334, 2.507111711493544, 0.0)",,Centre-Val de Loire,France
28044,"Latina, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28044, España","(40.376247755652166, -3.7626167955626877, 0.0)",Madrid,Comunidad de Madrid,España
10170,"Droupt-Sainte-Marie, Nogent-sur-Seine, Aube, Grand Est, France métropolitaine, 10170, France","(48.50012407058822, 3.927610794348347, 0.0)",,Grand Est,France
28189,"El Atazar, Sierra Norte, Comunidad de Madrid, 28189, España","(40.931126167500004, -3.4720307905076115, 0.0)",,Comunidad de Madrid,España
08279,"Avinyó, Bages, Barcelona, Catalunya, 08279, España","(41.83278459131993, 1.9875778965979065, 0.0)",Avinyó,Catalunya,España
18010,"Albaicín, Granada, Comarca de la Vega de Granada, Granada, Andalucía, 18010, España","(37.18022026266664, -3.595129320830252, 0.0)",Granada,Andalucía,España
30006,"Puente Tocinos, Murcia, Área Metropolitana de Murcia, Región de Murcia, 30006, España","(37.9933818, -1.0966897858233653, 0.0)",Murcia,Región de Murcia,España
o3700,,,,,
47250,"Guérin, Marmande, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47250, France","(44.40415795178573, 0.0734785683589189, 0.0)",,Nouvelle-Aquitaine,France
47410,"Saint-Colomb-de-Lauzun, Marmande, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47410, France","(44.617449075, 0.47834097161748695, 0.0)",,Nouvelle-Aquitaine,France
18170,"Saint-Pierre-les-Bois, Saint-Amand-Montrond, Cher, Centre-Val de Loire, France métropolitaine, 18170, France","(46.67494150925926, 2.292624340417541, 0.0)",,Centre-Val de Loire,France
